5EL SA;FEL;CH0006326851;General Financial
ABB Ltd;ABBN;CH0012221716;Industrial Engineering
Addex Therapeutics Ltd;ADXN;CH0029850754;Pharmaceuticals & Biotechnology
Adecco Group AG;ADEN;CH0012138605;Support Services
Adval Tech Holding AG;ADVN;CH0008967926;Industrial Engineering
AEVIS VICTORIA SA;AEVS;CH0012488190;Health Care Equipment & Services
Airesis SA;AIRE;CH0010947627;Personal Goods
Airopack Technology Group AG;AIRN;CH0242606942;Technology Hardware & Equipment
Allreal Holding AG;ALLN;CH0008837566;Real Estate
Alpine Select AG;ALPN;CH0019199550;Equity Investment Instruments
Alpiq Holding AG;ALPH;CH0034389707;Electricity
ALSO Holding AG;ALSN;CH0024590272;Technology Hardware & Equipment
Altin AG;ALTN;CH0014424524;General Financial
APG SGA SA;APGN;CH0019107025;Media
Arbonia AG;ARBN;CH0110240600;Construction & Materials
Arundel AG;ARON;CH0002271010;Real Estate
ARYZTA AG;ARYN;CH0043238366;Food Producers
Ascom Holding AG;ASCN;CH0011339204;Technology Hardware & Equipment
Autoneum Holding AG;AUTN;CH0127480363;Automobiles & Parts
Bachem Holding AG;BANB;CH0012530207;Pharmaceuticals & Biotechnology
Bâloise Holding AG;BALN;CH0012410517;Nonlife Insurance
Bank Cler AG;BC;CH0018116472;Banks
Bank Linth LLB AG;LINN;CH0001307757;Banks
Banque Cantonale de Genève;BCGE;CH0350494719;Banks
Banque Cantonale du Jura SA;BCJ;CH0350665672;Banks
Banque Cantonale Vaudoise;BCVN;CH0015251710;Banks
Banque Profil de Gestion S.A.;BPDG;CH0002492293;General Financial
Barry Callebaut AG;BARN;CH0009002962;Food Producers
Basellandschaftliche Kantonalbank;BLKB;CH0001473559;Banks
Basilea Pharmaceutica AG;BSLN;CH0011432447;Pharmaceuticals & Biotechnology
Basler Kantonalbank;BSKP;CH0009236461;Banks
BB Biotech AG;BION;CH0038389992;Pharmaceuticals & Biotechnology
BELIMO Holding AG;BEAN;CH0001503199;Construction & Materials
Bell Food Group AG;BELL;CH0315966322;Food Producers
Bellevue Group AG;BBN;CH0028422100;General Financial
Bergbahnen Engelberg-Trübsee-Titlis AG;TIBN;CH0214706357;Travel & Leisure
Berner Kantonalbank AG;BEKN;CH0009691608;Banks
BFW Liegenschaften AG;BLIN;CH0018206117;Real Estate
BKW AG;BKW;CH0130293662;Electricity
Bobst Group SA;BOBNN;CH0012684657;Industrial Engineering
Bossard Holding AG;BOSN;CH0238627142;Construction & Materials
Bucher Industries AG;BUCN;CH0002432174;Industrial Engineering
Burckhardt Compression Holding AG;BCHN;CH0025536027;Industrial Engineering
Burkhalter Holding AG;BRKN;CH0212255803;Construction & Materials
BVZ Holding AG;BVZN;CH0008207356;Industrial Transportation
Calida Holding AG;CALN;CH0126639464;Personal Goods
Carlo Gavazzi Holding AG;GAV;CH0011003594;Electronic & Electrical Equipment
Castle Alternative Invest AG;CASN;CH0005092751;Equity Investment Instruments
Castle Private Equity AG;CPEN;CH0048854746;Equity Investment Instruments
Cembra Money Bank AG;CMBN;CH0225173167;Banks
Cham Paper Group Holding AG;CPGN;CH0001931853;Forestry & Paper
Chocoladefabriken Lindt & Sprüngli AG;LISN;CH0010570759;Food Producers
CI Com SA;CIE;CH0001625810;General Financial
Cicor Technologies Ltd.;CICN;CH0008702190;Electronic & Electrical Equipment
Clariant AG;CLN;CH0012142631;Chemicals
COLTENE Holding AG;CLTN;CH0025343259;Health Care Equipment & Services
Comet Holding AG;COTN;CH0360826991;Electronic & Electrical Equipment
Compagnie Financière Richemont SA;CFR;CH0210483332;Personal Goods
Compagnie financière Tradition S.A.;CFT;CH0014345117;General Financial
Conzzeta AG;CON;CH0244017502;Industrial Engineering
CPH Chemie + Papier Holding AG;CPHN;CH0001624714;Forestry & Paper
Crealogix Holding AG;CLXN;CH0011115703;Software & Computer Services
Credit Suisse Group AG;CSGN;CH0012138530;Banks
Datacolor AG;DCN;CH0008531045;Technology Hardware & Equipment
Dätwyler Holding AG;DAE;CH0030486770;General Industrials
DKSH Holding AG;DKSH;CH0126673539;Support Services
dormakaba Holding AG;DOKA;CH0011795959;Electronic & Electrical Equipment
Dottikon ES Holding AG;DESN;CH0020739006;Chemicals
Dufry AG;DUFN;CH0023405456;General Retailers
Edisun Power Europe AG;ESUN;CH0024736404;Electricity
Edmond de Rothschild (Suisse) S.A.;RLD;CH0001347498;General Financial
EEII AG;EEII;CH0007162958;Equity Investment Instruments
EFG International AG;EFGN;CH0022268228;Banks
Elma Electronic AG;ELMN;CH0005319162;Electronic & Electrical Equipment
Emmi AG;EMMN;CH0012829898;Food Producers
Ems-Chemie Holding AG;EMSN;CH0016440353;Chemicals
Energiedienst Holding AG;EDHN;CH0039651184;Electricity
ENR Russia Invest SA;RUS;CH0034476959;General Financial
Evolva Holding SA;EVE;CH0021218067;Pharmaceuticals & Biotechnology
Feintool International Holding AG;FTON;CH0009320091;Industrial Engineering
Flughafen Zürich AG;FHZN;CH0319416936;Industrial Transportation
Forbo Holding AG;FORN;CH0003541510;Construction & Materials
Galenica AG;GALE;CH0360674466;Food & Drug Retailers
GAM Holding AG;GAM;CH0102659627;General Financial
Geberit AG;GEBN;CH0030170408;Construction & Materials
Georg Fischer AG;FI-N;CH0001752309;Industrial Engineering
Givaudan SA;GIVN;CH0010645932;Chemicals
Glarner Kantonalbank;GLKBN;CH0189396655;Banks
Goldbach Group AG;GBMN;CH0004870942;Software & Computer Services
Graubündner Kantonalbank;GRKP;CH0001340204;Banks
Groupe Baumgartner Holding SA;BAP;CH0002175773;Forestry & Paper
Groupe Minoteries SA;GMI;CH0012949464;Food Producers
Gurit Holding AG;GUR;CH0008012236;Chemicals
HBM Healthcare Investments AG;HBMN;CH0012627250;General Financial
Helvetia Holding AG;HELN;CH0012271687;Nonlife Insurance
HIAG Immobilien Holding AG;HIAG;CH0239518779;Real Estate
Highlight Event and Entertainment AG;HLEE;CH0003583256;Travel & Leisure
HOCHDORF Holding AG;HOCN;CH0024666528;Food Producers
Huber+Suhner AG;HUBN;CH0030380734;Technology Hardware & Equipment
Hügli Holding AG;HUE;CH0004647951;Food Producers
Hypothekarbank Lenzburg AG;HBLN;CH0001341608;Banks
Idorsia Ltd;IDIA;CH0363463438;Pharmaceuticals & Biotechnology
Implenia AG;IMPN;CH0023868554;Construction & Materials
INFICON Holding AG;IFCN;CH0011029946;Industrial Engineering
Interroll Holding AG;INRN;CH0006372897;Industrial Engineering
Intershop Holding AG;ISN;CH0273774791;Real Estate
Investis Holding SA;IREN;CH0325094297;Real Estate
IVF HARTMANN Holding AG;VBSN;CH0187624256;Health Care Equipment & Services
Julius Bär Gruppe AG;BAER;CH0102484968;Banks
