Company; Symbol; Valor Number; Country; Traded Currency; Trading platform; Index-member; Class of Share; Nominal Value; Industry Sector; Listing Segment; Accounting Rules; Next General Meeting; Primary listing
3M Company; MMM;1405105; US; CHF; XSWX; ; RS;0; ; International Reporting Standard; ; ; false
5EL SA; FEL;632685; CH; CHF; XSWX; ; BS;3.5; General Financial; Swiss Reporting Standard; Swiss GAAP FER; 06.12.17; true
ABB Ltd; ABBN;1222171; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;0.12; Industrial Engineering; International Reporting Standard; US GAAP; ; true
Abbott Laboratories; ABT;903037; US; CHF; XSWX; ; RS;0; ; International Reporting Standard; ; ; false
AbbVie Inc; ABBV;20145667; US; CHF; XSWX; ; RS;0; ; International Reporting Standard; ; ; false
Addex Therapeutics Ltd; ADXN;2985075; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1; Pharmaceuticals & Biotechnology; International Reporting Standard; IFRS; ; true
Adecco Group AG; ADEN;1213860; CH; CHF; XSWX; SMI,SPI,SLCI,SMIEXP,SLI; RS;0.1; Support Services; International Reporting Standard; US GAAP; ; true
Adval Tech Holding AG; ADVN;896792; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;20; Industrial Engineering; Swiss Reporting Standard; Swiss GAAP FER; ; true
AEVIS VICTORIA SA; AEVS;1248819; CH; CHF; XSWX; SPI,SSCI,SPIEX,SLIFE,SBIOM; RS;5; Health Care Equipment & Services; Swiss Reporting Standard; Swiss GAAP FER; 24.05.18; true
Airesis SA; AIRE;1094762; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;0.25; Personal Goods; International Reporting Standard; IFRS; ; true
Airopack Technology Group AG; AIRN;24260694; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;5; Technology Hardware & Equipment; Swiss Reporting Standard; Swiss GAAP FER; ; true
Allreal Holding AG; ALLN;883756; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;50; Real Estate; Real Estate Companies; IFRS; 20.04.18; true
Alpine Select AG; ALPN;1919955; CH; CHF; XSWX; ; RS;0.02; Equity Investment Instruments; Investment Companies; IFRS; ; true
Alpiq Holding AG; ALPH;3438970; CH; CHF; XSWX; ; RS;10; Electricity; International Reporting Standard; IFRS; 16.05.18; true
ALSO Holding AG; ALSN;2459027; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;1; Technology Hardware & Equipment; International Reporting Standard; IFRS; ; true
Altin AG; ALTN;1442452; CH; USD; XSWX; ; RS;0.03; General Financial; Investment Companies; IFRS; ; true
